"X","Y","clc_quartier","clc_secteur","haut_tot","haut_tronc","tronc_diam","fk_arb_etat","fk_stadedev","fk_port","fk_pied","fk_situation","fk_revetement","commentaire_environnement","dte_plantation","age_estim","fk_prec_estim","clc_nbr_diag","dte_abattage","fk_nomtech","villeca","feuillage","remarquable","src_geo"
1721095.6459,8293514.7374,"Quartier du Centre-Ville","Quai Gayant",6,2,37,"EN PLACE","jeune","semi libre","gazon","Alignement","Non","RAS",NA,15,5,0,NA,"QUERUB","VILLE","Feuillu",FALSE,"Orthophoto"
1719656.9537,8295835.0154,"Quartier du Vermandois","Stade Cepy",13,1,160,"EN PLACE","adulte","semi libre","gazon","Groupe","Non","RAS",NA,50,10,0,NA,"PINNIGnig","VILLE","Conifère",FALSE,"Orthophoto"
1720792.1279,8293959.9257,"Quartier du Centre-Ville","Rue Villebois Mareuil",12,3,116,"REMPLACÉ","adulte","semi libre","gazon","Alignement","Non","RAS",NA,30,10,0,2016-12-31,"ACEPSE","VILLE","Feuillu",FALSE,"Orthophoto"
1721742.4894,8295883.9685,"Quartier de l'Europe","Square des Marronniers",16,3,150,"EN PLACE","adulte","semi libre","gazon","Groupe","Non","RAS",NA,50,2,0,NA,"ACEPLA","VILLE","Feuillu",FALSE,"Orthophoto"
1721863.3578,8295513.886,"Quartier de l'Europe","Avenue Buffon",5,2,170,"Essouché","adulte","réduit","gazon","Isolé","Non","RAS",NA,40,2,0,2018-04-30,"SALBAB","VILLE","Feuillu",FALSE,"Orthophoto"
1721969.4043,8295790.3804,"Quartier de l'Europe","Rue Laplace",8,3,103,"EN PLACE","adulte","réduit relâché","fosse arbre","Alignement","Oui","RAS",NA,30,10,0,NA,"ACEPLA","VILLE","Feuillu",FALSE,"Orthophoto"
1719514.2003,8293219.3241,"Quartier Saint-Martin - Oëstres","Rue de Paris",6,3,100,"EN PLACE","adulte","réduit","gazon","Alignement","Non","RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719488.0907,8293202.5464,"Quartier Saint-Martin - Oëstres","Rue de Paris",8,2,85,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719476.0006,8293194.2108,"Quartier Saint-Martin - Oëstres","Rue de Paris",8,4,105,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719462.3504,8293184.9752,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,4,135,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719449.573,8293176.4543,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,4,121,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719423.3568,8293159.6235,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,2,107,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719408.6083,8293148.8539,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,5,125,"EN PLACE","adulte","réduit relâché","fosse arbre","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719395.8308,8293140.5182,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,92,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719369.6546,8293122.021,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,150,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719356.6919,8293113.355,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,4,115,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719342.4597,8293102.1619,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,4,89,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719328.5711,8293093.4557,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,2,110,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719315.0264,8293084.4184,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,5,115,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719303.36,8293076.0571,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,5,103,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719289.2598,8293066.2393,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,145,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,3,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719269.6837,8293051.8441,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,135,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719246.1394,8293035.3315,"Quartier Saint-Martin - Oëstres","Rue de Paris",7,4,115,"EN PLACE","adulte","réduit","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719233.8917,8293026.5995,"Quartier Saint-Martin - Oëstres","Rue de Paris",7,4,137,"EN PLACE","adulte","réduit","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,1,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719196.5378,8293000.8517,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,7,165,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,3,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719145.7456,8292965.0223,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,8,140,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719133.5237,8292956.3164,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,140,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1719024.9804,8292878.7828,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,160,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718998.7113,8292861.3443,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,140,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718985.9338,8292851.8974,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,160,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718972.7598,8292841.7101,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,163,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718948.4483,8292824.4302,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,139,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718909.1109,8292797.8621,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,4,165,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718846.1499,8292753.6708,"Quartier Saint-Martin - Oëstres","Rue de Paris",11,4,140,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718807.0011,8292726.3129,"Quartier Saint-Martin - Oëstres","Rue de Paris",11,3,142,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718791.6312,8292715.199,"Quartier Saint-Martin - Oëstres","Rue de Paris",11,4,140,"EN PLACE","adulte","réduit relâché","Revetement non permeable","Alignement",NA,"RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718692.422,8292643.6687,"Quartier Saint-Martin - Oëstres","Rue de Paris",11,4,160,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718679.5121,8292634.6451,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,5,110,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718665.8574,8292624.3304,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,2,125,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718655.6001,8292616.8733,"Quartier Saint-Martin - Oëstres","Rue de Paris",9,2,138,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
1718627.7888,8292597.622,"Quartier Saint-Martin - Oëstres","Rue de Paris",10,3,125,"EN PLACE","adulte","réduit relâché","gazon","Alignement","Non","RAS",NA,50,10,2,NA,"TILCOR","VILLE","Feuillu",FALSE,"Orthophoto"
